price,year,manufacturer,model,condition,fuel,odometer,transmission,paint_color
7450,2010,chevrolet,impala,excellent,gas,745555,automatic,blue
7450,2010,chevrolet,impala,excellent,gas,745555,automatic,blue
20000,2014,ram,1500,excellent,gas,723004,automatic,silver
2100,2007,ford,taurus,fair,gas,720415,automatic,grey
10500,2012,ford,e250 cargo van,excellent,gas,715790,automatic,white
55000,2017,volvo,vnl 670,like new,diesel,698234,automatic,grey
18000,2013,mercedes-benz,benz sprinter 2500,good,diesel,695918,automatic,grey
7000,1971,volkswagen,squareback,good,gas,666666,manual,black
36500,2016,bmw,m2,good,gas,650000,manual,black
3700,1998,toyota,tacoma long bed sr5,fair,gas,617000,manual,white
9500,1979,chevrolet,k10,good,gas,583120,automatic,blue
1200,1964,chevrolet,corvan,fair,gas,555555,manual,blue
11999,2006,ford,super duty f-350 drw,excellent,diesel,537730,automatic,white
8000,2013,ford,taurus police interceptor,good,gas,533932,automatic,white
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
39999,2016,volvo,vnl 670,excellent,diesel,523321,manual,red
10000,1989,dodge,w250 cummins,good,diesel,500000,automatic,blue
1250,2006,mercedes-benz,c230 kompressor,good,gas,500000,other,silver
5400,1987,chevrolet,12’ flatbed atruck,good,gas,487389,automatic,white
5400,1987,chevrolet,flatbed truck,good,gas,487389,automatic,white
5500,2000,ford,f350,good,diesel,485000,automatic,white
1000,1990,jeep,cherokee,fair,gas,480000,manual,grey
25000,2007,nissan,ud 2000,good,diesel,475000,automatic,white
33700,2008,ford,f-650,good,diesel,456638,automatic,white
33700,2008,ford,f650,good,diesel,456638,automatic,custom
39999,2016,volvo,vnl 670,excellent,diesel,452812,manual,red
12900,2007,gmc,sierra 1500,good,gas,450000,automatic,grey
6700,1996,ford,f250,fair,diesel,450000,automatic,white
6500,2001,ram,2500,good,diesel,450000,automatic,white
5900,2005,gmc,sierra 1500,good,gas,450000,automatic,white
3000,1995,ram,3500 van,good,gas,445172,automatic,white
2000,2013,volvo,vnl64t670,excellent,diesel,442916,manual,white
8000,2005,ford,f-250 super duty king ranch,fair,diesel,435000,automatic,white
8950,1998,ram,3500,good,diesel,430000,automatic,silver
6750,2004,ford,f350 dually,good,gas,427657,automatic,white
8500,1999,ford,f-250 super duty,excellent,diesel,427000,automatic,white
6000,1972,toyota,landcruiser,good,gas,420690,automatic,black
2000,1998,mercedes-benz,e320,good,gas,414000,manual,white
25450,1969,lincoln,continental,like new,gas,400000,automatic,black
9988,2004,chevrolet,silverado 2500hd,good,diesel,400000,automatic,white
8500,2012,chevrolet,tahoe z71,good,gas,400000,automatic,white
6995,2005,dodge,sprinter 2500,good,diesel,399198,automatic,white
13500,2017,ram,promaster 3500,good,gas,398000,automatic,white
3500,1964,chevrolet,c20,fair,gas,397995,manual,blue
17000,2014,ram,5500,good,diesel,390000,automatic,white
3000,2008,nissan,armada,good,gas,390000,automatic,green
3495,1997,gmc,sonoms sls,fair,gas,387310,automatic,white
2500,2006,honda,accord ex,good,gas,382672,automatic,red
10000,1983,lincoln,mark vi,excellent,gas,380546,automatic,blue
7900,2001,toyota,tundra,excellent,gas,380000,automatic,white
3500,2005,dodge,sprinter cargo van,fair,diesel,380000,automatic,white
2900,1999,lexus,gs400,good,gas,378000,automatic,white
8500,2005,ford,f450,good,hybrid,376000,automatic,white
4999,1999,ford,f350 crew cab,good,gas,375400,automatic,black
14995,2005,chevrolet,silverado,excellent,gas,372565,automatic,black
5300,2002,ford,f-550,like new,diesel,370123,automatic,white
20000,1999,ford,f250,excellent,diesel,370000,automatic,white
11000,2002,gmc,sierra 2500hd,good,diesel,370000,automatic,white
6000,1996,toyota,landcruiser fjz,good,gas,370000,automatic,black
18000,2009,ram,2500 slt,good,diesel,367245,automatic,red
1500,1999,subaru,outback,fair,gas,366356,manual,white
4700,2007,chevrolet,commercial box truck,good,gas,366086,automatic,white
6500,2006,ford,f-150 king ranch,good,gas,362000,automatic,orange
1000,2004,toyota,camry le,fair,gas,361000,automatic,brown
13995,2007,gmc,sierra ext2500,good,gas,360483,automatic,silver
14995,1997,toyota,land cruiser,good,gas,360000,automatic,black
4000,1997,chevrolet,tahoe,good,gas,360000,automatic,red
3800,2006,cadillac,escalade esv,good,gas,360000,automatic,blue
2500,2003,honda,accord,fair,gas,360000,automatic,blue
2500,2003,honda,accord,fair,gas,360000,automatic,blue
7500,2005,ford,f-250,good,diesel,359536,automatic,black
5950,2005,ford,e350 12-passenger van,excellent,gas,358135,automatic,white
4995,2005,toyota,tundra,good,gas,356000,automatic,white
16500,1991,dodge,w250,good,diesel,355795,automatic,black
10500,2006,ford,f250sd,excellent,diesel,353633,automatic,white
10500,2006,ford,f250sd,excellent,diesel,353633,automatic,white
14500,1997,ford,f250,good,diesel,352722,manual,blue
2800,1998,chevrolet,silverado,fair,gas,352000,automatic,brown
44000,1986,jeep,cj7,excellent,gas,350000,automatic,brown
19500,2006,chevrolet,silverado 2500 lt,excellent,diesel,350000,automatic,white
10900,2003,ram,3500,good,diesel,350000,automatic,red
10900,2003,ram,3500,good,diesel,350000,automatic,red
5000,1999,ford,ranger xlt 4x4 supercab,good,gas,350000,automatic,red
4400,2002,ford,ranger xl,good,gas,350000,automatic,silver
2000,1994,mazda,b2300,good,gas,350000,manual,blue
8900,2005,gmc,sierra 2500 hd,excellent,gas,349000,automatic,white
7100,1997,ford,f350 deisel powerstroke xlt,good,diesel,349000,manual,white
5325,2007,chevrolet,impala,good,gas,349000,automatic,black
3900,1998,toyota,4-runner sr5,good,gas,349000,automatic,green
3500,1998,toyota,4runner,good,gas,347000,automatic,silver
12500,2005,ram,2500,fair,diesel,346000,manual,silver
10500,1991,toyota,land cruiser,good,gas,343194,automatic,white
9800,1999,ford,f250 super duty,good,diesel,343000,automatic,white
14991,2015,mini,cooper hardtop,excellent,gas,342878,automatic,red
19700,2012,ford,f250 super duty,good,diesel,341000,automatic,white
15499,2011,ford,f-350 sd,good,gas,340560,automatic,white
2000,1999,toyota,4runner,fair,gas,340500,automatic,white
12000,2005,ford,f-350,good,diesel,340000,automatic,black
5500,2001,ford,e350 van,fair,diesel,340000,automatic,white
7500,2003,ford,f350,fair,diesel,339000,automatic,white
10500,1998,toyota,4runner,fair,gas,338915,automatic,silver
68900,2017,volvo,vnl64t630,good,diesel,338772,automatic,red
4500,1994,honda,civic coupe,good,gas,338203,manual,red
4500,2003,chevrolet,suburban lt,good,gas,338000,automatic,black
7475,2000,toyota,tundra,excellent,gas,337000,automatic,white
8500,1998,ram,2500,fair,diesel,336000,automatic,white
13999,2011,ford,f-250 sd,good,gas,335910,other,custom
1000,1998,dodge,durango,fair,gas,335210,automatic,red
5250,1999,toyota,4runner,good,gas,335000,automatic,red
3900,1993,toyota,t100,good,gas,335000,automatic,white
4200,2009,ford,e450 bus,good,gas,333333,automatic,white
13950,2008,chevrolet,silverado 2500hd,fair,diesel,332488,automatic,silver
13950,2008,chevrolet,silverado 2500hd,fair,diesel,332488,automatic,silver
13950,2008,chevrolet,silverado 2500hd,fair,diesel,332488,automatic,silver
11995,2003,ford,excursion eddie bauer,fair,diesel,330563,automatic,silver
19500,2003,ford,excursion,excellent,diesel,330000,automatic,black
7000,2011,ford,e-150,good,gas,330000,automatic,black
6000,1999,toyota,tacoma 4x4,good,gas,330000,manual,white
5500,1998,ford,e-350,good,gas,330000,automatic,white
3500,2000,chevrolet,suburban,excellent,gas,330000,automatic,brown
2500,2004,chevrolet,suburban,fair,gas,330000,automatic,black
13500,2000,toyota,4runner,good,gas,329000,automatic,white
1600,1993,jeep,grand cherokee,fair,gas,328763,automatic,green
10500,2012,mercedes-benz,sprinter 2500,good,diesel,328255,automatic,white
4500,2005,gmc,yukon xl,good,gas,327400,automatic,black
3200,2005,subaru,outback,excellent,gas,325900,manual,blue
16500,1984,chevrolet,k30,excellent,diesel,325277,automatic,green
3500,2000,toyota,tundra,good,gas,325152,automatic,green
8000,1997,ford,f250 super duty,excellent,diesel,325120,automatic,white
10500,1997,ford,f-350 super duty,good,diesel,325000,automatic,white
9500,1997,ford,f-350 super duty,good,diesel,325000,automatic,white
5900,2001,toyota,sequoia limited,good,gas,325000,automatic,silver
2200,2006,ford,e150 cargo van,good,gas,325000,automatic,white
1700,2002,chevrolet,express 1500 cargo,fair,gas,325000,automatic,white
2800,2006,toyota,sequoia sr5,good,gas,324165,automatic,black
1850,2006,honda,accord ex,good,gas,323029,manual,black
7000,2013,ford,e350,good,gas,322858,automatic,white
1500,2007,lincoln,town car,fair,gas,322429,automatic,black
1500,2007,lincoln,town car,fair,gas,322429,automatic,black
1500,2007,lincoln,town car,fair,gas,322429,automatic,black
7500,2003,acura,cl type s,good,gas,322000,manual,silver
2700,2006,chevrolet,express 2500,good,gas,322000,automatic,white
9995,2012,ford,f250 superduty,good,gas,320000,automatic,grey
5749,1998,toyota,4runner,excellent,gas,320000,manual,red
1700,2009,toyota,camry hybrid,good,gas,320000,automatic,red
1700,2009,toyota,camry hybrid,good,gas,320000,automatic,red
7800,2009,ford,e150,good,gas,318654,automatic,white
2750,1993,toyota,base,good,gas,317000,manual,blue
2900,2005,honda,pilot,good,gas,316100,automatic,green
12500,2000,ford,f-350 super duty lariat,good,diesel,316000,automatic,white
15500,1994,toyota,land cruiser,good,gas,315000,automatic,grey
6000,1997,toyota,tacoma 4x4,good,gas,315000,manual,red
1000,2000,toyota,tundra 4wd truck,salvage,gas,315000,automatic,brown
15500,2005,ram,3500 cummins diesel,excellent,diesel,314030,automatic,white
15000,1997,toyota,land cruiser,excellent,gas,314000,automatic,black
13000,1999,ford,super duty f-350,good,diesel,314000,automatic,white
4800,1996,toyota,4runner 4wd,good,gas,314000,automatic,green
2000,2003,toyota,sienna,good,gas,314000,automatic,brown
5990,2008,hyundai,veracruz limited,excellent,gas,313700,automatic,grey
3800,2005,chevrolet,suburban 2500 4x4,good,gas,313100,automatic,grey
8500,2011,mercedes-benz,c-class c300 sport,excellent,gas,313026,automatic,grey
7900,2006,ford,f-150,good,gas,312740,automatic,red
1000,1997,lexus,es300,fair,gas,312660,automatic,brown
10900,2009,toyota,tacoma,good,gas,312000,automatic,white
5500,2004,chevrolet,tahoe,good,gas,312000,automatic,grey
9000,1990,toyota,pickup,excellent,gas,311846,manual,black
6600,2000,lexus,lx470 land cruiser,good,gas,311000,automatic,grey
7500,2008,ford,f-250,good,diesel,310000,automatic,black
2099,2001,chevrolet,suburban z71,fair,gas,309754,automatic,black
5900,2003,toyota,4runner,good,gas,309505,automatic,blue
5900,2003,toyota,4runner,good,gas,309505,automatic,blue
5900,2003,toyota,4runner,good,gas,309505,automatic,blue
11495,2002,ford,f250 powerstroke lariat,good,diesel,309218,automatic,white
8000,1999,ram,2500,fair,diesel,309000,manual,black
7000,1996,ford,f-350,good,diesel,309000,manual,white
2000,1994,nissan,truck,fair,gas,309000,manual,white
16000,1997,volkswagen,eurovan camper,good,gas,308000,automatic,white
3000,2007,rover,lr3,good,gas,308000,automatic,black
2900,2007,ford,freestyle limited,good,gas,308000,automatic,blue
5500,2007,chevrolet,silverado,good,gas,307000,automatic,white
3800,2007,gmc,sierra,good,gas,307000,automatic,white
1900,1997,ford,expedition,good,gas,307000,automatic,white
10000,2002,ford,f250 super duty,good,diesel,305538,automatic,white
8500,2004,toyota,tacoma,good,gas,305000,automatic,silver
5000,1998,chevrolet,silverado 1500,fair,gas,305000,automatic,blue
19500,1999,ram,2500,good,diesel,304100,automatic,green
12000,1996,ram,2500,good,diesel,304000,automatic,green
3300,1994,bmw,318ic cabrio,fair,gas,304000,manual,black
10900,2008,ford,f350 4x4 crew cab,excellent,gas,303400,automatic,white
10900,2008,ford,f350 4x4 crew cab,excellent,gas,303400,automatic,white
5995,2005,ford,explorer sport trac,excellent,gas,303306,automatic,white
8750,1999,ford,f-550,fair,diesel,303069,manual,white
3000,2003,subaru,forester 2.5x,good,gas,302558,automatic,silver
1750,2004,chevrolet,trailblazer,good,gas,302500,automatic,black
6800,2002,ford,f-150,excellent,gas,302000,automatic,red
3000,2004,ford,e250 econoline,good,gas,302000,automatic,white
2000,2004,mercedes-benz,benz c230,good,gas,302000,automatic,grey
6000,2002,ford,f250,good,diesel,301111,automatic,white
11950,2000,ford,f250,good,diesel,300846,automatic,red
2500,2002,chevrolet,silverado 1500,like new,gas,300402,automatic,white
4790,2006,toyota,tundra,good,gas,300300,automatic,white
18500,2021,ford,f450 super duty,good,diesel,300000,automatic,grey
15900,2013,gmc,sierra1500 crewcab 4x4,good,gas,300000,automatic,grey
15000,1998,ram,2500,good,diesel,300000,manual,white
14700,1960,ford,f-150,excellent,gas,300000,manual,red
12000,1998,ram,3500 slt,like new,diesel,300000,automatic,white
11800,2016,lincoln,navigator l,good,gas,300000,automatic,black
11000,2004,ford,f-250,excellent,diesel,300000,automatic,blue
10000,2004,ram,2500,good,diesel,300000,automatic,grey
9000,2002,ram,diesel cummins 3500,good,diesel,300000,manual,white
8000,2004,toyota,tundra sr5,good,gas,300000,automatic,green
7500,2012,chevrolet,suburban,good,gas,300000,automatic,black
7000,1985,toyota,4x4,good,gas,300000,manual,red
6000,1998,jeep,wrangler,fair,gas,300000,manual,red
5800,1997,chevrolet,c/k 1500,excellent,gas,300000,automatic,white
5500,1995,chevrolet,tahoe,good,gas,300000,automatic,white
4500,2001,toyota,4runner,good,gas,300000,automatic,blue
4500,1996,chevrolet,ck1500,good,gas,300000,automatic,white
4000,2003,toyota,camry le,good,gas,300000,automatic,blue
4000,2004,jaguar,x-type,good,gas,300000,automatic,brown
3500,2005,honda,crv,good,gas,300000,automatic,black
3500,2004,ford,expedition,good,gas,300000,automatic,red
3500,2000,ford,f150,good,gas,300000,automatic,white
3000,2015,ford,f250,fair,gas,300000,automatic,blue
3000,1999,acura,tl,fair,gas,300000,automatic,red
2500,1996,honda,prelude si,good,gas,300000,manual,black
2500,2000,ford,pickup,fair,gas,300000,automatic,blue
2300,1997,honda,accord lx,good,gas,300000,automatic,red
2000,1987,toyota,corolla fx16,good,gas,300000,manual,white
2000,2000,chevrolet,tahoe,fair,gas,300000,automatic,red
2000,1998,mercedes-benz,benz e300,fair,diesel,300000,automatic,silver
1598,2002,toyota,4runner,good,gas,300000,automatic,silver
1500,2006,toyota,sienna,salvage,gas,300000,automatic,blue
1500,1992,mazda,b2200,fair,gas,300000,manual,silver
1200,1982,mercedes-benz,300d,fair,diesel,300000,automatic,white
1200,2002,ford,f-150,fair,gas,300000,automatic,red
1200,2002,ford,f-150,fair,gas,300000,automatic,red
1000,1996,honda,accord dx,salvage,gas,300000,automatic,grey
1000,2006,chrysler,town & country,fair,gas,300000,automatic,white
1600,2006,toyota,corolla,fair,gas,299999,automatic,red
13900,1990,volkswagen,vanagon,excellent,gas,299132,automatic,white
7500,1991,toyota,land cruiser,good,gas,299000,automatic,white
19999,2008,gmc,sierra 3500hd,excellent,diesel,298945,automatic,white
7000,2007,gmc,1500 sierra,good,gas,298940,automatic,white
7000,2007,gmc,1500 sierra,good,gas,298940,automatic,white
3850,2001,chevrolet,silverado 1500 lt,good,gas,298700,automatic,green
2999,1995,mercedes-benz,benz,good,diesel,298500,automatic,green
4000,2012,honda,fit,good,gas,298011,manual,silver
8500,2000,ford,excursion 4x4,excellent,gas,298000,automatic,white
5500,1999,ford,club wagon,good,gas,298000,automatic,white
3000,1998,toyota,tacoma,fair,gas,298000,manual,green
1800,1988,toyota,pickup,fair,gas,298000,manual,brown
7995,1997,toyota,4runner,excellent,gas,297611,automatic,black
7995,1997,toyota,4runner,excellent,gas,297611,automatic,black
7995,1997,toyota,4runner,excellent,gas,297611,automatic,black
7995,1997,toyota,4runner,excellent,gas,297611,automatic,black
7995,1997,toyota,4runner,excellent,gas,297611,automatic,black
3000,1999,chevrolet,suburban 1500,fair,gas,297403,automatic,green
6500,2000,toyota,4runner,excellent,gas,297240,automatic,silver
10495,2003,toyota,tacoma,excellent,gas,297000,automatic,silver
7500,1999,ford,f350,good,diesel,297000,manual,white
7500,1999,ford,f350 super duty,good,diesel,297000,manual,white
4600,2002,ford,f150 4x4,good,gas,297000,automatic,black
4000,2000,gmc,yukon xl 2500,good,gas,297000,automatic,brown
1000,2000,subaru,outback,good,gas,297000,automatic,green
4400,1997,toyota,t100 4x4,fair,gas,296984,automatic,black
11999,2001,toyota,tacoma,fair,gas,296861,automatic,custom
10500,1999,toyota,land cruiser,good,gas,296551,automatic,silver
3100,2004,chevrolet,suburban,good,gas,296521,automatic,white
1000,2000,honda,crv,fair,gas,296362,manual,red
10000,2001,gmc,w55,good,diesel,296000,automatic,white
4400,2014,ford,fusion,like new,gas,296000,automatic,grey
1000,2005,ford,focus zx3,good,gas,296000,manual,green
4500,2007,honda,accord,good,gas,295559,automatic,grey
5000,2003,ford,f-150,good,gas,295446,automatic,white
7000,2012,ford,e150,good,gas,295000,automatic,white
1500,2004,hyundai,santa fe gls,good,gas,295000,automatic,red
4490,1999,dodge,dakota,good,gas,294649,automatic,white
3500,2006,acura,tl 3.2,good,gas,294466,automatic,grey
14000,2003,ram,diesel cummins 2500,good,diesel,293487,automatic,red
17999,2008,toyota,tundra 4wd truck,excellent,gas,293201,automatic,blue
17999,2008,toyota,tundra 4wd truck,excellent,gas,293201,automatic,blue
20000,1996,ford,f250 powerstoke 7.3l,good,diesel,293000,automatic,white
15000,2002,toyota,landcruiser,excellent,gas,293000,automatic,blue
14000,2002,toyota,landcruiser,excellent,gas,293000,automatic,blue
12500,2002,toyota,land cruiser,excellent,gas,293000,automatic,blue
4000,2000,toyota,avalon,excellent,gas,293000,automatic,white
3000,1996,chevrolet,silverado k1500,good,gas,293000,automatic,white
7400,2010,chrysler,town and country,good,gas,292434,automatic,blue
11000,2006,toyota,tacoma,good,gas,292000,automatic,blue
3500,2004,mitsubishi,outlander,good,gas,291670,automatic,blue
10999,2003,toyota,4 runner sr5,good,gas,291341,automatic,black
10999,2003,toyota,4 runner sr5,good,gas,291341,automatic,black
2000,1993,ford,f250 xlt,good,gas,291000,automatic,white
23000,2005,gmc,sierra 2500hd,excellent,diesel,290970,automatic,green
3600,2003,honda,cr-v,excellent,gas,290836,automatic,custom
3600,2003,honda,cr-v,excellent,gas,290836,automatic,custom
4999,2003,ram,1500,excellent,gas,290612,automatic,silver
4999,2003,ram,1500,excellent,gas,290612,automatic,silver
1875,2004,ford,econoline e-350,fair,gas,290548,automatic,white
4995,2005,gmc,yukon,good,gas,290044,automatic,red
22950,2007,ram,3500 dually diesel,excellent,diesel,290000,automatic,silver
20000,1999,ram,2500,fair,diesel,290000,manual,silver
6500,2000,gmc,sierra,excellent,gas,290000,automatic,red
5900,2005,chevrolet,colorado,excellent,gas,290000,automatic,green
5200,2006,ford,f-150,good,gas,290000,automatic,grey
3900,1996,ford,f250,good,gas,290000,automatic,white
2400,2000,jeep,cherokee,good,gas,290000,automatic,black
1800,2005,infiniti,g35x,good,gas,290000,automatic,silver
900,1994,honda,accord,fair,gas,290000,automatic,black
4000,2007,toyota,yaris sedan,good,gas,289880,automatic,white
3700,2007,toyota,yaris sedan,good,gas,289880,automatic,white
2500,2000,ford,e150 cargo van,good,gas,289526,automatic,white
2995,2008,hyundai,azera,excellent,gas,289499,automatic,black
1700,1989,gmc,sierra 1500,fair,gas,289268,automatic,white
2995,2013,dodge,avenger sxt,good,gas,289000,automatic,blue
900,2010,mercury,mariner,fair,gas,288888,manual,black
1500,2007,ford,van e250 2007,good,gas,288410,automatic,white
3499,2001,toyota,sequoia limited,good,gas,288281,automatic,black
9900,2012,chevrolet,silverado,excellent,gas,288000,automatic,white
6500,2001,toyota,4runner,good,gas,288000,automatic,silver
4950,2001,toyota,4runner,good,gas,288000,automatic,silver
2000,2009,hyundai,sonata,good,gas,288000,manual,blue
11000,2001,gmc,sierra 2500hd,excellent,diesel,287000,automatic,orange
9200,1999,ram,2500,good,diesel,287000,automatic,white
9200,1999,ram,2500 4x4,good,diesel,287000,automatic,white
9200,1999,ram,2500 4x4,good,diesel,287000,automatic,white
8000,2005,ford,f250 super duty,good,gas,287000,automatic,white
6900,2002,ford,f350 diesel powerstroke 4x4,good,diesel,287000,automatic,grey
4000,2008,ford,mustang,fair,gas,287000,automatic,blue
3500,2006,nissan,altima 3.5 sl,good,gas,287000,automatic,white
2500,1991,toyota,pickup,fair,gas,287000,manual,white
1500,1994,chevrolet,suburban,fair,gas,287000,automatic,blue
3995,1997,chevrolet,tahoe z71 4x4,good,gas,286547,automatic,white
4900,2006,chevrolet,suburban ls 1500 4x4,good,gas,286000,automatic,white
4400,2004,toyota,hilander,good,gas,286000,automatic,brown
800,2002,toyota,camry,salvage,gas,286000,automatic,white
2800,2002,chevrolet,express 3500 cargo van,fair,gas,285961,automatic,white
8500,2005,chevrolet,silverado,good,gas,285522,automatic,white
8500,2002,ford,f-150,good,gas,285387,automatic,white
1500,2002,honda,civic,fair,gas,285360,manual,custom
6500,2003,chevrolet,tahoe,fair,gas,285247,automatic,black
13000,1999,ford,f350,good,diesel,285000,manual,red
4250,2004,toyota,sequoia limited 4wd,good,gas,285000,automatic,white
2850,2003,toyota,corolla,good,gas,285000,manual,silver
600,2000,audi,a6 quattro,fair,gas,284918,manual,silver
1300,2005,honda,accord,fair,gas,284603,automatic,grey
10000,1984,volkswagen,vanagon,good,gas,284432,automatic,white
2500,2001,toyota,camry,good,gas,284100,automatic,white
10500,1996,ford,bronco,good,gas,284000,manual,blue
8300,2006,ford,f 350,good,diesel,284000,automatic,brown
4000,1999,toyota,4runner,excellent,gas,284000,automatic,silver
2000,2002,volkswagen,jetta tdi,good,diesel,284000,manual,silver
9800,2000,chevrolet,silverado,excellent,gas,283983,automatic,white
14994,2008,ford,f250 super duty lariat 4x4,excellent,diesel,283896,automatic,brown
6952,2009,ford,expedition el,good,other,283651,automatic,white
6952,2009,ford,expedition el,good,other,283651,automatic,white
8000,1993,lexus,sc300,excellent,gas,283400,manual,black
7500,2002,lexus,sc430 convertible,good,gas,283400,automatic,silver
11500,2008,ford,f-250 super duty xl,good,diesel,283356,automatic,white
8950,2001,ford,f-550,fair,diesel,283132,manual,red
5900,1997,ford,e350,good,gas,283020,automatic,white
5900,1997,ford,e350,good,gas,283020,automatic,white
15000,2001,ford,f250 super duty 4x4,good,diesel,283000,automatic,silver
13000,2005,ford,f-250,good,diesel,283000,automatic,black
750,1999,toyota,camry,good,gas,283000,automatic,custom
6975,2010,ford,transit connect cargo van,good,gas,282850,automatic,white
14900,1972,mercedes-benz,350sl,excellent,gas,282000,automatic,white
13500,2007,toyota,4runner,excellent,gas,282000,automatic,silver
5700,2002,chevrolet,avalanche,excellent,gas,281760,automatic,blue
6999,2007,toyota,sequoia limited,excellent,gas,281370,automatic,silver
4500,2007,toyota,yaris,good,gas,281000,automatic,black
4000,2006,jeep,grand cherokee laredo,good,gas,281000,automatic,black
2200,2003,gmc,safari cargo van,fair,gas,281000,automatic,white
2000,2005,chevrolet,impala,good,gas,281000,automatic,grey
6995,2012,chevrolet,express g 2500,good,gas,280887,automatic,white
3000,2000,toyota,solara,excellent,gas,280421,automatic,black
35000,1995,toyota,landcruiser,good,gas,280000,automatic,white
35000,1995,toyota,landcruiser,excellent,gas,280000,automatic,white
21500,2004,ram,2500 laramie,excellent,diesel,280000,automatic,black
9800,2013,ford,f-150,good,gas,280000,automatic,grey
6500,2001,chevrolet,silverado,good,gas,280000,automatic,white
6000,2001,chevrolet,silverado,good,gas,280000,automatic,white
5500,1999,gmc,sierra 1500 z71 sle,good,gas,280000,automatic,grey
5000,2003,ford,f150 supercrew,good,gas,280000,automatic,red
4900,1997,toyota,4runner,good,gas,280000,automatic,white
3995,2008,mitsubishi,eclipse,excellent,gas,280000,automatic,blue
3500,2003,chevrolet,suburban z71,good,gas,280000,automatic,white
2300,2003,ford,f-150,fair,gas,280000,automatic,white
2000,1997,ford,f150,fair,gas,280000,automatic,green
2000,2001,acura,tl,fair,gas,280000,automatic,white
1800,2002,ford,sport trac,fair,gas,280000,automatic,white
1800,1999,toyota,camry,good,gas,280000,automatic,green
1500,2001,chevrolet,silverado,good,gas,280000,automatic,red
1395,2003,gmc,sierra 1500,good,gas,280000,automatic,blue
2800,2003,ford,explorer,excellent,gas,279879,automatic,silver
3000,2003,subaru,outback,good,gas,279377,manual,green
3999,2008,honda,odyssey exl,good,gas,279122,automatic,blue
4500,2004,honda,pilot ex 4wd,good,gas,279053,automatic,green
29998,2012,ford,f350 king ranch,excellent,diesel,279000,automatic,white
13000,1995,ford,f-350 super duty,good,diesel,279000,manual,green
4500,2003,ford,e150 econoline,good,gas,279000,automatic,white
4200,2002,toyota,highlander,good,gas,279000,automatic,blue
3000,2002,toyota,4runner sr5,excellent,gas,278751,automatic,silver
7990,2003,toyota,tacoma xtracab,excellent,gas,278502,automatic,white
4500,2003,ford,f-150,excellent,gas,278263,automatic,blue
8900,2000,ford,f250,excellent,diesel,278000,automatic,red
1700,1993,jeep,grand cherokee,fair,gas,278000,automatic,green
2500,2003,honda,accord ex,good,gas,277958,automatic,silver
20000,2003,ford,f250,good,diesel,277737,automatic,grey
3000,2006,hyundai,tucson,good,gas,277710,automatic,silver
23988,2012,gmc,c5500 bucket truck,excellent,diesel,277450,automatic,white
23988,2006,gmc,c5500 bucket truck,excellent,diesel,277450,automatic,white
3000,1995,ford,econoine 250 van,good,gas,277190,automatic,white
13500,2000,ford,f450 super duty,good,diesel,277000,automatic,white
10500,2001,gmc,sierra 2500 slt 4x4,good,diesel,277000,automatic,green
9800,1987,toyota,4runner 4wd,good,gas,277000,manual,white
2800,1999,ford,expedition,good,gas,277000,automatic,silver
10500,2006,ford,f-250 super duty,fair,diesel,276992,automatic,grey
4499,1997,toyota,4runner,fair,gas,276700,manual,red
2000,1997,toyota,rav4,good,gas,276600,automatic,green
750,2001,honda,accord,fair,gas,276500,automatic,grey
3000,2004,toyota,sequoia sr5,good,gas,276000,automatic,grey
1995,1999,acura,cl,fair,gas,275515,manual,green
3000,2011,toyota,prius,good,hybrid,275422,automatic,grey
2500,2004,ford,f-150,fair,gas,275320,automatic,white
7500,2000,ford,excursion,excellent,gas,275134,automatic,black
7500,2000,ford,excursion,excellent,gas,275134,automatic,black
7500,2000,ford,excursion,excellent,gas,275134,automatic,black
14900,2006,toyota,tacoma,good,gas,275053,automatic,red
22000,2005,chevrolet,silverado 2500,good,diesel,275000,automatic,green
12000,2000,ford,f250 super duty,good,diesel,275000,automatic,white
12000,1998,toyota,4runner,good,gas,275000,automatic,black
11000,1997,jeep,cherokee,excellent,gas,275000,automatic,white
7500,2000,toyota,tundra,good,gas,275000,automatic,white
2800,2001,jeep,grand cherokee laredo,good,gas,275000,automatic,blue
2400,2000,mercedes-benz,benz s430,good,gas,275000,automatic,white
1600,1999,jeep,cherokee classic,fair,gas,275000,automatic,white
850,1998,toyota,camry,fair,gas,275000,automatic,custom
6900,2001,toyota,4runner limited,good,gas,274969,automatic,white
7999,2000,ford,super duty f-650,excellent,diesel,274820,automatic,white
7999,2000,ford,super duty f-650,excellent,diesel,274820,automatic,white
7999,2000,ford,super duty f-650,excellent,diesel,274820,automatic,white
7999,2000,ford,super duty f-650,excellent,diesel,274820,automatic,white
7999,2000,ford,super duty f-650,excellent,diesel,274820,automatic,white
4000,2000,volvo,v70r,fair,gas,274800,automatic,silver
3459,2006,toyota,corolla le,good,gas,274619,automatic,black
1300,2008,chevrolet,equinox ls,fair,gas,274273,automatic,black
700,1996,honda,accord ex,fair,gas,274250,automatic,grey
6860,2006,gmc,yukon xl denali,good,gas,274050,automatic,white
